tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration
"['Hain wilderness', 'Strenuous Hikes']",North Wilderness Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",5-8 Hours
"['CCC', 'Talus caves', 'Caves']",Moses Spring Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours
['easy moderate hike'],Jawbone Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes
"['rock formations', 'oak woodlands', 'riparian communities']",Moses Spring Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",4-5 Hours
"['loop hike', 'Strenuous Hikes', 'Talus caves', 'rock formations']",Chaparral Parking Area,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",4-5 Hours
"['high peaks', 'California condors', 'rock formations', 'Strenuous Hikes']",Bear Gulch Day Use Area,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",3-5 Hours
"['rock formations', 'California condors', 'scenic viewpoint']",Condor Gulch Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",60-90 Minutes
"['Creeks', 'riparian communities', 'Western Sycamore', 'easy moderate hike']",Bench Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours
['Strenuous Hikes'],North Chalone Trail,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",3-5 Hours
"['oak woodlands', 'Hain wilderness', 'Moderate Hikes']",Bench Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",3-4 Hours
"['birding', 'Blackstone River Valley National Historical Park', 'ranger program']",,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,['Summer'],45-75 Minutes
"['Talus caves', 'Moderate Hikes']",Bench Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",4-6 Hours
"['Caves', 'Talus caves', 'short trails', 'Moderate Hikes', 'rock scramble', 'primitive']",Balconies Trailhead,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours
"['Historic area', 'Homestead Life', 'night sky viewing']",Bacon-Butterfield Ranch Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes
"['birdwatching', 'California condors']",,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['run with a ranger', 'Healthy Parks Healthy People', 'Healthy Parks', 'healthyparkshealthypeople', 'wellness', 'trail running']",Forest Center,true,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours
"['george rogers clark national historical park', 'Main Activities', 'things to do']",George Rogers Clark Memorial,false,false,"[{'id': 'A0631906-9672-4583-91DE-113B93DB6B6E', 'name': 'Self-Guided Tours - Walking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",5-30 Minutes
"['Charlestown Navy Yard', 'Bunker Hill', 'Boston', 'Beacon Hill', 'Abolition', 'American Revolution']",,false,true,"[{'id': 'B33DC9B6-0B7D-4322-BAD7-A13A34C584A3', 'name': 'Guided Tours'}]",[],false,['Summer'],60-75 Minutes
"['ranger activities', 'ranger program', 'evening program', 'Evening performances', 'amphitheater', 'history lecture', 'geology talk', 'wildlife 101']",McKee Amphitheater,false,true,"[{'id': '09DF0950-D319-4557-A57E-04CD2F63FF42', 'name': 'Arts and Culture'}]",[],false,['Summer'],1 Hour
"['Labor History', 'working class', 'festivals', 'live music', 'Blackstone River Valley National Historical Park']",,false,true,"[{'id': '09DF0950-D319-4557-A57E-04CD2F63FF42', 'name': 'Arts and Culture'}]",[],false,[],
"['little greenbrier school', 'metcalf bottoms', 'walker homesite']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['juan bautista de anza national historic trail', 'hiking', 'biking', 'historical trail', 'anza expedition', 'anza trail', 'California', 'riverside county', 'city of moreno valley']",TownGate Memorial Park,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours
"['Reconstruction', 'reconstruction era', 'Reconstruction Era National Historic Network', 'Reconstruction Era National Historical Park', 'ranger led program', 'Guided Tour', 'African American History', 'history']","Beaufort, South Carolina",false,false,"[{'id': 'B33DC9B6-0B7D-4322-BAD7-A13A34C584A3', 'name': 'Guided Tours'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes
"['Point reyes', 'Point Reyes National Seashore', 'backcountry camping', 'backpacking', 'camping', 'Coast Campground', 'Coast Camp', 'Glen Campground', 'glen camp', 'Sky Campground', 'Sky Camp', 'Wildcat Campground', 'Wildcat Camp', 'Phillip Burton Wilderness']","Point Reyes National Seashore, California",true,false,"[{'id': 'A59947B7-3376-49B4-AD02-C0423E08C5F7', 'name': 'Camping'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",2-5 Days
"['Hanford', 'Explore Museums', 'Have Family Fun', 'museums']",Nez Perce NHP,false,false,"[{'id': 'C8F98B28-3C10-41AE-AA99-092B3B398C43', 'name': 'Museum Exhibits'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours
"['bike', 'bike rental', 'bicycle', 'bicycle rental', 'rental', 'rentals', 'the encampment store', 'valley forge', 'valley forge national historical park']",Bike Rental Shop,false,false,"[{'id': '7CE6E935-F839-4FEC-A63E-052B1DEF39D2', 'name': 'Biking'}]",[],true,"['Spring', 'Summer', 'Fall']",2-8 Hours
['Junior Ranger activities'],,false,true,"[{'id': 'DF4A35E0-7983-4A3E-BC47-F37B872B0F25', 'name': 'Junior Ranger Program'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",10-30 Minutes
"['RMNP', 'trail ridge road']",Deer Ridge Junction,true,true,"[{'id': '0B4A5320-216D-451A-9990-626E1D5ACE28', 'name': 'Scenic Driving'}]",[],false,['Summer'],2-2 Hours
"['Rocky Mountain National Park', 'scenic views', 'Scenic Drive']",Beginning of Old Fall River Road,true,true,"[{'id': '0B4A5320-216D-451A-9990-626E1D5ACE28', 'name': 'Scenic Driving'}]",[],false,['Summer'],
"['bike', 'bike riding', 'ranger program', 'Blackstone River Valley National Historical Park', 'bicycle']","1075 Lower River Road, Lincoln, RI",false,true,"[{'id': '7CE6E935-F839-4FEC-A63E-052B1DEF39D2', 'name': 'Biking'}]",[],false,['Summer'],45-90 Minutes
"['hiking', 'backpacking', 'backcountry', 'wildlife', 'Voyageurs National Park', 'land access trail']","Near Ash River Visitor Center, Ash River Community, Ash River Trail, Near Kabetogama Lake Visitor Center",false,false,"[{'id': '7C37B79B-D02D-49EB-9020-3DB8299B748A', 'name': 'Backcountry Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-5 Days
"['wildlife', 'mammals']",Unknown,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'weasel']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['steve woody', 'historic home', 'cataloochee', 'hike']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals', 'otter']",In or near water,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['rainbow falls', 'cherokee orchard road', 'day hike']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals', 'mountain lion']",Rarely seen,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['mount leconte', 'day hike', 'rainbow falls']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals']",Goat Lick Overlook,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['gatlinburg trail', 'river views', 'pets allowed']",,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['lynn camp prong', 'cascades', 'waterfall', 'tremont']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['oconaluftee', 'river', 'cherokee', 'pets allowed']",,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['bullhead trail', 'mount leconte', 'day hike', 'heath bald']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['trillium gap trail', 'mount leconte', 'day hike', 'grotto falls']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Appalachian Trail', 'boulevard trail', 'mount leconte', 'Charlies Bunion', 'day hike']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['alum cave', 'alum cave bluffs', 'mount leconte', 'day hike']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Look Rock Tower', 'hike', 'tower', 'View', 'foothills parkway']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['Laurel Falls', 'waterfall']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals', 'wolves']",North Fork Valley,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring']",
"['John Oliver Cabin', 'homesite', 'accessible trail', 'cades cove']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'Deer']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'Canada lynx']",Rarely seen,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'bobcats']",Rarely seen,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['mammals', 'wildlife']",Logan Pass & Many Glacier Valley,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals']",Various Locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'bears']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['Seboeis Riverside Trail', 'kaww', 'Katahdin Woods and Waters National Monument', 'recreation', 'hiking']",Seboeis Riverside Trail Trailheads,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,[],0-7 Hours
"['wildlife', 'mammals', 'bats']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",
"['mammal wildlife', 'animal', 'animal identification', 'marine animals', 'watching wildlife', 'wildlife', 'Wildlife in Their Habitat', 'Wildlife Viewing', 'wildlife watching', 'birding']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['wildlife', 'mammals', 'American marten']",Various locations,false,false,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['RMNP', 'hiking']",Deer Mountain Trailhead,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,[],3-5 Hours
"['RMNP', 'hiking', 'wild basin', 'lake hike']",Sandbeach Lake Trailhead,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,[],4-6 Hours
"['OZAR', 'Midwest', 'wild horses', 'horses', 'Missouri', 'Ozarks', 'feral horses']",Multiple Locations,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['grotto falls', 'waterfall']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['hike', 'Alum', 'alum cave bluffs', 'Alum Cave Trail']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['andrews bald', 'high elevation forest', 'azalea']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['hiking', 'bear lake', 'Rocky Mountain National Park', 'lake hike']",Bear Lake Trailhead,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",15-60 Minutes
"['hike', 'clingmans dome', 'observation tower']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['hike', 'cascade', 'Smokemont', 'Smokemont Campground']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['ramsey cascades', 'waterfall', 'Greenbrier']",Expect crowds and full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['hike', 'waterfall', 'Abrams Falls', 'cades cove']","Trailhead located on 11-mile, one-way Cades Cove Loop Road",false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Elkmont', 'Daisy Town', 'Little River', 'jakes creek', 'cucumber gap']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['chestnut tops', 'townsend', 'wildflowers', 'hike']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['kephart prong', 'CCC Camp', 'mountain streams']",Limited parking available at trailhead—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Deep Creek', 'waterfalls', 'bryson city']",,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Charlies Bunion', 'Appalachian Trail', 'hike', 'Mountain Views']",Expect full parking—consider a shuttle,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Vicksburg National Military Park', 'Bark Ranger', 'Bark Ranger Program', 'Vicksburg Bark Ranger']",Vicksburg National Military Park,false,true,"[{'id': '42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A', 'name': 'Hands-On'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Vicksburg National Military Park', 'Junior Ranger', 'Vicksburg Junior Ranger', 'Junior Ranger Activity Booklet']",Vicksburg National Military Park,false,true,"[{'id': 'DF4A35E0-7983-4A3E-BC47-F37B872B0F25', 'name': 'Junior Ranger Program'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Guided Ranger Hike', 'ranger program', 'park ranger']",,false,true,"[{'id': 'B204DE60-5A24-43DD-8902-C81625A09A74', 'name': 'Living History'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-60 Minutes
"['hiking', 'hiking trails', 'trails']",,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Fort Pulaski National Monument', 'boating']",,false,true,"[{'id': '071BA73C-1D3C-46D4-A53C-00D5602F7F0E', 'name': 'Boating'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",
"['fishing', 'Fort Pulaski National Monument']",,false,true,"[{'id': 'AE42B46C-E4B7-4889-A122-08FE180371AE', 'name': 'Fishing'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['military', 'battlefield', 'Monuments', 'Memorials', 'Slavery', 'Abolition', 'Presidents', 'national cemeteries', 'Schools', 'Education', 'veterans', 'Civil War', 'weapons', 'Homes', 'historic preservation', 'medicine', 'cultural landscapes', 'Photography', 'Underground Railroad', 'Gettysburg', 'gettysburg national military park']",,false,true,"[{'id': 'B33DC9B6-0B7D-4322-BAD7-A13A34C584A3', 'name': 'Guided Tours'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-120 Minutes
"['birding', 'birdwatching', 'Fort Pulaski National Monument']",,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['biking', 'bike riding', 'Fort Pulaski National Monument']",,true,true,"[{'id': '7CE6E935-F839-4FEC-A63E-052B1DEF39D2', 'name': 'Biking'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Lake Mead National Recreation Area', 'scenic drives']",Northshore Road,true,true,"[{'id': 'C7D5A145-F8EB-4C37-9E92-2F6C6206B196', 'name': 'Self-Guided Tours - Auto'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['fort pulaski', 'Battle For Fort Pulaski', 'Fort Pulaski National Monument', 'fort', 'American Third System fortification', 'fortification']",,false,true,"[{'id': 'C8F98B28-3C10-41AE-AA99-092B3B398C43', 'name': 'Museum Exhibits'}]",[],true,"['Winter', 'Spring', 'Summer', 'Fall']",
"['Rocky Mountain National Park', 'Hiking in RMNP']",Bierstadt Lake,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,[],3-5 Hours
"['RMNP', 'Lily Lake', 'Strolls', 'hiking']",Lily Lake,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],true,[],
"['Rocky Mountain National Park', 'Cub Lake', 'Hiking in RMNP']",Cub Lake Trailhead,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,[],3-5 Hours
"['Rocky Mountain National Park', 'hiking', 'continental divide', 'summit hike', 'lake']",Bear Lake Trailhead,true,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Summer', 'Fall']",3-6 Hours
"['Jean Baptiste Valle', 'Ste. Genevieve NHP', 'Home', 'garden']",Jean-Baptiste Vallé House,false,true,"[{'id': 'A0631906-9672-4583-91DE-113B93DB6B6E', 'name': 'Self-Guided Tours - Walking'}]",[],false,"['Spring', 'Summer']",
"['Boston', 'American Revolution', 'Bunker Hill', 'Battle of Bunker Hill', 'Revolutionary War', 'military', 'militia']",Charlestown Navy Yard Flag Pole,false,true,"[{'id': 'B33DC9B6-0B7D-4322-BAD7-A13A34C584A3', 'name': 'Guided Tours'}]",[],false,['Summer'],90 Minutes
"['Gettysburg', 'campfire program', 'ranger program', 'military', 'battlefield', 'Monuments', 'Memorials', 'Education', 'veterans', 'Civil War', 'weapons', 'historic preservation', 'cultural landscapes']","Pitzer Woods Amphitheater, near Auto Tour Stop #6.",false,true,"[{'id': 'B33DC9B6-0B7D-4322-BAD7-A13A34C584A3', 'name': 'Guided Tours'}]",[],false,[],45-60 Minutes
